movie_id,title,revenue,vote_average,vote_count,watch_providers,genres,budget,runtime,original_language,adult,shooting_format,release_year,number_screens_release,overview,movie_script,script_writer,distributors,director,producers,main_cast
1241436,Warfare,29865776,7.2,223,,"War, Action",20000000,95,en,False,,2025,,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",,,"DNA Films, A24","Ray Mendoza, Alex Garland","Andrew Macdonald, Allon Reich, Peter Rice, Matthew Penry-Davey","D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis"
986056,Thunderbolts*,272154195,7.533,753,,"Action, Science Fiction, Adventure",180000000,127,en,False,,2025,,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",,,"Marvel Studios, Kevin Feige Productions",Jake Schreier,Kevin Feige,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus"
977294,Tin Soldier,0,0.0,0,,"Action, Thriller",45000000,87,en,False,,2025,,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",,,"Unified Pictures, Romulus Entertainment, Shaken, Not Stirred Productions, Aloe Entertainment, Current Entertainment, Media Finance Capital, TSF Productions, Road Less Traveled Productions, Lost Winds Entertainment, Golden Liberty Films, Daniel Finkelman Films",Brad Furman,"Steven Chasman, Brad Feinstein, Jess Fuerst, Brad Furman, Keith Kjarval, Jim Seibel, Christopher Milburn","Scott Eastwood, Robert De Niro, Jamie Foxx"
1197306,A Working Man,98615164,6.5,613,,"Action, Crime, Thriller",40000000,116,en,False,,2025,,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",,,"Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",David Ayer,"David Ayer, Sylvester Stallone, Jason Statham, Chris Long, John Friedberg, Bill Block, Kevin King Templeton","Jason Statham, Jason Flemyng, Merab Ninidze"
950387,A Minecraft Movie,909586434,6.168,856,,"Family, Comedy, Adventure, Fantasy",150000000,101,en,False,,2025,,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",,,"Warner Bros. Pictures, Legendary Pictures, Mojang Studios, Vertigo Entertainment, On the Roam, Domain Entertainment",Jared Hess,"Roy Lee, Mary Parent, Vu Bui, Jason Momoa, Torfi Frans Ólafsson, Cale Boyter, Jill Messick, Jon Berg","Jason Momoa, Jack Black, Sebastian Eugene Hansen"
710258,Rust,0,6.355,38,,Western,0,0,en,False,,2025,,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",,,"El Dorado Pictures, Cavalry Media, BondIt Media Capital, Highland Film Group",Joel Souza,"Matt Delpiano, Nathan Klingher, Ryan Donnell Smith, Ryan Winterstern, Grant Hill, Anna Granucci, Anjul Nigam, Alec Baldwin","Alec Baldwin, Josh Hopkins, Patrick Scott McDermott"
822119,Captain America: Brave New World,414757293,6.1,1815,,"Action, Thriller, Science Fiction",180000000,119,en,False,,2025,,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",,,"Marvel Studios, Kevin Feige Productions",Julius Onah,"Kevin Feige, Nate Moore","Anthony Mackie, Harrison Ford, Danny Ramirez"
324544,In the Lost Lands,4755330,6.328,351,,"Action, Fantasy, Adventure",55000000,102,en,False,,2025,,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",,,"Constantin Film, Spark Productions",Paul W. S. Anderson,"Constantin Werner, Jeremy Bolt, Paul W. S. Anderson, Milla Jovovich, Dave Bautista, Jonathan Meisner","Milla Jovovich, Dave Bautista, Arly Jover"
668489,Havoc,0,6.534,581,"Netflix, Netflix Standard with Ads","Action, Crime, Thriller",90000000,107,en,False,,2025,,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",,,"XYZ Films, Severn Screen, One More One Productions",Gareth Evans,"Sarah Dibsdall, Gareth Evans, Aram Tertzakian, Tom Hardy, Ed Talfan","Tom Hardy, Jessie Mei Li, Timothy Olyphant"
1153714,Death of a Unicorn,15983827,6.5,191,,"Horror, Fantasy, Comedy, Adventure, Science Fiction",15000000,107,en,False,,2025,,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",,,"A24, Square Peg, Secret Engine, Ley Line Entertainment",Alex Scharfman,"Tyler Campellone, Drew P. Houpt, Lars Knudsen, Alex Scharfman, Tim Headington, Theresa Steele Page, Lucas Joaquin","Jenna Ortega, Paul Rudd, Will Poulter"
1233413,Sinners,283337331,7.6,660,,"Horror, Thriller",90000000,138,en,False,,2025,,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",,,"Warner Bros. Pictures, Proximity Media, Domain Entertainment",Ryan Coogler,"Zinzi Coogler, Sev Ohanian, Ryan Coogler","Michael B. Jordan, Miles Caton, Hailee Steinfeld"
1124620,The Monkey,68758266,5.9,598,,"Horror, Comedy",10000000,98,en,False,,2025,,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",,,"Atomic Monster, C2 Motion Picture Group, Range Media Partners, Oddfellows Entertainment, The Safran Company, Stars Collective",Osgood Perkins,"Dave Caplan, Chris Ferguson, Brian Kavanaugh-Jones, James Wan","Theo James, Tatiana Maslany, Christian Convery"
1151039,Nonnas,0,6.492,63,"Netflix, Netflix Standard with Ads",Comedy,0,112,en,False,,2025,,"After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual nonnas — grandmothers — as the chefs.",,,"Fifth Season, 1Community, Matador Content, MWM Studios",Stephen Chbosky,"Jack Turner, Rachel Shane, Gigi Pritzker","Vince Vaughn, Lorraine Bracco, Talia Shire"
574475,Final Destination Bloodlines,0,7.2,36,,"Horror, Mystery",40000000,110,en,False,,2025,,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",,,"New Line Cinema, Practical Pictures, Freshman Year, Fireside Films, Domain Entertainment","Adam B. Stein, Zach Lipovsky","Sheila Hanahan Taylor, Jon Watts, Craig Perry, Dianne McGunigle, Toby Emmerich","Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt"
1011477,Karate Kid: Legends,0,6.885,13,,"Action, Adventure, Drama",0,94,en,False,,2025,,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",,,"Columbia Pictures, Sunswept Entertainment",Jonathan Entwistle,Karen Rosenfelt,"Ben Wang, Jackie Chan, Ralph Macchio"
1180906,Desert Dawn,0,9.0,3,,"Action, Crime, Mystery, Thriller",1500000,89,en,False,,2025,,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,,,"Premiere Entertainment Group, Al Bravo Films",Marty Murray,"Elias Axume, Al Bravo","Kellan Lutz, Cam Gigandet, Chad Michael Collins"
974573,Another Simple Favor,0,6.1,212,"Amazon Prime Video, Amazon Prime Video with Ads","Thriller, Comedy, Crime",0,123,en,False,,2025,,"Stephanie and Emily reunite on the beautiful island of Capri, Italy for Emily's extravagant wedding to a rich Italian businessman. Along with the glamorous guests, expect murder and betrayal to RSVP for a wedding with more twists and turns than the road from the Marina Grande to the Capri town square.",,,"Feigco Entertainment, Lionsgate",Paul Feig,"Laura Fischer, Paul Feig","Anna Kendrick, Blake Lively, Michele Morrone"
1414048,Day of Reckoning,0,6.7,17,,"Western, Action",0,106,en,False,,2025,,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",,,"ESX Entertainment, Lila Lane Pictures, TackleBox Films",Shaun Silva,"Ali Afshar, Christina Moore, Daniel Aspromonte, Don Lepore","Zach Roerig, Billy Zane, Cara Jade Myers"
1249213,Drop,28031847,6.551,294,,"Mystery, Thriller",11000000,95,en,False,,2025,,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",,,"Blumhouse Productions, Platinum Dunes",Christopher Landon,"Jason Blum, Michael Bay, Brad Fuller, Cameron Fuller","Meghann Fahy, Brandon Sklenar, Violett Beane"
1045938,G20,0,6.56,473,"Amazon Prime Video, Amazon Prime Video with Ads","Action, Mystery, Drama",0,108,en,False,,2025,,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",,,"JuVee Productions, Mad Chance, MRC, Amazon MGM Studios",Patricia Riggen,"Andrew Lazar, Viola Davis, Julius Tennon","Viola Davis, Anthony Anderson, Marsai Martin"
